ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,avg_sam_mask_AP_50_95
1,powder,YOLOv8 Nano,True,True,1,Random,0%,90%,90%,0.6977466664886383
2,powder,YOLOv8 Nano,True,True,1,Random,0%,90%,100%,0.7030002799147318
3,powder,YOLOv8 Nano,True,True,1,Random,0%,90%,110%,0.6975048804777024
4,powder,YOLOv8 Nano,True,True,1,Random,0%,100%,90%,0.6959568880709929
5,powder,YOLOv8 Nano,True,True,1,Random,0%,100%,100%,0.6619739388439656
6,powder,YOLOv8 Nano,True,True,1,Random,0%,100%,110%,0.6993706482531826
7,powder,YOLOv8 Nano,True,True,1,Random,0%,110%,90%,0.6708570751311138
8,powder,YOLOv8 Nano,True,True,1,Random,0%,110%,100%,0.6742993306263018
9,powder,YOLOv8 Nano,True,True,1,Random,0%,110%,110%,0.663638730128065
10,powder,YOLOv8 Nano,True,True,1,Random,5%,90%,90%,0.7177049444976431
11,powder,YOLOv8 Nano,True,True,1,Random,5%,90%,100%,0.6933205776653742
12,powder,YOLOv8 Nano,True,True,1,Random,5%,90%,110%,0.708242906723236
13,powder,YOLOv8 Nano,True,True,1,Random,5%,100%,90%,0.6829915211830135
14,powder,YOLOv8 Nano,True,True,1,Random,5%,100%,100%,0.6924735775621191
15,powder,YOLOv8 Nano,True,True,1,Random,5%,100%,110%,0.687721389819124
16,powder,YOLOv8 Nano,True,True,1,Random,5%,110%,90%,0.6567124680702449
17,powder,YOLOv8 Nano,True,True,1,Random,5%,110%,100%,0.646648679363244
18,powder,YOLOv8 Nano,True,True,1,Random,5%,110%,110%,0.6677921766096822
19,powder,YOLOv8 Nano,True,True,1,Random,10%,90%,90%,0.7041816368417144
20,powder,YOLOv8 Nano,True,True,1,Random,10%,90%,100%,0.7092460812918663
21,powder,YOLOv8 Nano,True,True,1,Random,10%,90%,110%,0.6928794017015866
22,powder,YOLOv8 Nano,True,True,1,Random,10%,100%,90%,0.6859579122600458
23,powder,YOLOv8 Nano,True,True,1,Random,10%,100%,100%,0.6880494508156352
24,powder,YOLOv8 Nano,True,True,1,Random,10%,100%,110%,0.6896589576651462
25,powder,YOLOv8 Nano,True,True,1,Random,10%,110%,90%,0.6610433517300476
26,powder,YOLOv8 Nano,True,True,1,Random,10%,110%,100%,0.6711406876373461
27,powder,YOLOv8 Nano,True,True,1,Random,10%,110%,110%,0.6687561480342294
28,powder,YOLOv8 Nano,True,True,1,Random,15%,90%,90%,0.6859326278856664
29,powder,YOLOv8 Nano,True,True,1,Random,15%,90%,100%,0.7018808025531718
30,powder,YOLOv8 Nano,True,True,1,Random,15%,90%,110%,0.6978894518172362
31,powder,YOLOv8 Nano,True,True,1,Random,15%,100%,90%,0.6858019335032652
32,powder,YOLOv8 Nano,True,True,1,Random,15%,100%,100%,0.6726770942460693
33,powder,YOLOv8 Nano,True,True,1,Random,15%,100%,110%,0.6921778762381874
34,powder,YOLOv8 Nano,True,True,1,Random,15%,110%,90%,0.6617850211264641
35,powder,YOLOv8 Nano,True,True,1,Random,15%,110%,100%,0.6637876855691429
36,powder,YOLOv8 Nano,True,True,1,Random,15%,110%,110%,0.6671213433838173
37,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,90%,0.6812154373943978
38,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,100%,0.6981693826611556
39,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,90%,110%,0.702699488095995
40,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,90%,0.6894534584834029
41,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,100%,0.6925934030624147
42,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,100%,110%,0.6858299998746554
43,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,90%,0.7094593412041558
44,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,100%,0.6722848179756047
45,powder,YOLOv8 Nano,True,True,1,Distance Max,0%,110%,110%,0.7045151285902783
46,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,90%,0.710049476126844
47,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,100%,0.7093144693808058
48,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,90%,110%,0.6848781127217376
49,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,90%,0.686119615154282
50,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,100%,0.6990867316714808
51,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,100%,110%,0.6722543705170588
52,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,90%,0.6699351944067087
53,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,100%,0.6720247084130587
54,powder,YOLOv8 Nano,True,True,1,Distance Max,5%,110%,110%,0.6720247084130587
55,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,90%,0.7161813855329281
56,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,100%,0.6880756137712662
57,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,90%,110%,0.6989997504898281
58,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,90%,0.6798715517358994
59,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,100%,0.6896324175288356
60,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,100%,110%,0.6861650792218065
61,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,90%,0.6716447577761325
62,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,100%,0.6716447577761325
63,powder,YOLOv8 Nano,True,True,1,Distance Max,10%,110%,110%,0.6716447577761325
64,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,90%,0.7024173778597474
65,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,100%,0.6912064837901704
66,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,90%,110%,0.698276735116685
67,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,90%,0.6855323139906816
68,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,100%,0.6855323139906816
69,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,100%,110%,0.6895203111168297
70,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,90%,0.6712688230951873
71,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,100%,0.6712688230951873
72,powder,YOLOv8 Nano,True,True,1,Distance Max,15%,110%,110%,0.6751383260533456
73,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,90%,0.7011826796744116
74,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,100%,0.6865338877732454
75,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,90%,110%,0.6966053396783748
76,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,90%,0.6858062346238317
77,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,100%,0.6856335243160461
78,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,100%,110%,0.6862739667029569
79,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,90%,0.6660600025988012
80,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,100%,0.6706435303741425
81,powder,YOLOv8 Nano,True,True,1,Voronoi,0%,110%,110%,0.6703804460397129
82,powder,YOLOv8 Nano,True,True,1,Voronoi,5%,90%,90%,0.6967141521161158
